Cruciani_1,Cruciani_2,Cruciani_3,Instability_Index,Boman_Index,Hydrophobicity_Eisenberg,Hydrophobic_Moment,Aliphatic_Index,Isoelectric_Point_Lehninger,Charge_pH7.4_Lehninger,Freq_Tiny,Freq_Small,Freq_Aliphatic,Freq_Aromatic,Freq_Non_polar,Freq_Polar,Freq_Charged,Freq_Basic,Freq_Acidic,anomaly
-0.532,-0.224,-0.398,-37.14,-0.618,0.636,0.452477,78.0,2.995,-1.004916,0.2,0.6,0.4,0.4,0.8,0.2,0.2,0.0,0.2,-1
-0.908,-0.44,0.056,85.04,-1.682,0.634,0.278206,60.0,6.015,-0.005094,0.6,0.8,0.6,0.2,1.0,0.0,0.0,0.0,0.0,-1
-0.216,0.432,-0.084,15.7,-1.79,0.448,0.510094,156.0,10.11,0.994166,0.0,0.0,0.4,0.4,0.8,0.2,0.2,0.2,0.0,-1
-0.36,-0.46,0.124,36.62,0.078,0.28,0.197244,0.0,6.015,-0.005094,0.6,0.6,0.0,0.2,0.8,0.2,0.0,0.0,0.0,-1
0.172,-0.03,-0.118,-24.06,0.694,0.2,0.236518,78.0,5.883294,-0.009361,0.2,0.2,0.2,0.4,0.6,0.4,0.0,0.0,0.0,-1
-0.636,-0.222,-0.088,-8.98,-1.674,0.778,0.217563,58.0,6.015,-0.005094,0.4,0.6,0.2,0.4,0.8,0.2,0.0,0.0,0.0,-1
-0.646,0.142,-0.254,126.64,-1.532,0.576,0.39265,0.0,6.015,-0.005094,0.0,0.4,0.0,0.4,1.0,0.0,0.0,0.0,0.0,-1
-0.568,-0.294,0.322,32.68,0.64,0.238,0.263452,156.0,11.085,0.994898,0.4,0.4,0.4,0.0,0.8,0.2,0.2,0.2,0.0,-1
-0.294,0.028,-0.436,79.28,0.3,0.3,0.283563,0.0,3.294999,-1.004386,0.0,0.4,0.0,0.4,0.8,0.2,0.2,0.0,0.2,-1
-0.258,-0.202,-0.108,134.4,0.722,0.184,0.116661,0.0,6.015,-0.005094,0.2,0.4,0.0,0.2,0.6,0.4,0.0,0.0,0.0,-1
0.084,0.446,0.164,15.7,0.304,-0.064,0.775482,78.0,10.621395,1.993425,0.0,0.0,0.2,0.4,0.6,0.4,0.4,0.4,0.0,-1
-0.652,0.232,-0.354,79.28,-1.658,0.686,0.47543,0.0,6.015,-0.005094,0.0,0.4,0.0,0.6,1.0,0.0,0.0,0.0,0.0,-1
-0.26,-0.054,-0.392,95.88,-0.3,0.594,0.478749,78.0,3.294999,-1.004386,0.2,0.2,0.2,0.4,0.6,0.4,0.2,0.0,0.2,-1
-0.344,-0.15,-0.032,8.0,-0.942,0.64,0.248913,136.0,7.845049,0.033193,0.2,0.4,0.4,0.4,0.6,0.4,0.2,0.2,0.0,-1
0.024,0.422,0.204,-7.08,4.416,-0.446,1.007197,78.0,11.1983,1.992756,0.0,0.0,0.2,0.4,0.6,0.4,0.4,0.4,0.0,-1
-0.662,0.142,-0.286,103.96,-2.046,0.66,0.454824,78.0,6.015,-0.005094,0.0,0.4,0.2,0.4,1.0,0.0,0.0,0.0,0.0,-1
-0.294,0.028,-0.436,79.28,0.3,0.3,0.283563,0.0,3.294999,-1.004386,0.0,0.4,0.0,0.4,0.8,0.2,0.2,0.0,0.2,-1
-0.662,0.142,-0.286,103.96,-2.046,0.66,0.454824,78.0,6.015,-0.005094,0.0,0.4,0.2,0.4,1.0,0.0,0.0,0.0,0.0,-1
-0.392,-0.56,0.246,46.52,-0.28,0.396,0.15865,78.0,6.015,-0.005094,0.6,0.8,0.4,0.0,0.6,0.4,0.0,0.0,0.0,-1
0.273333,0.788333,0.018333,103.8,1.858333,-0.131667,0.788925,0.0,11.539912,1.994157,0.0,0.0,0.0,0.666667,0.666667,0.333333,0.333333,0.333333,0.0,-1
0.211667,0.551667,0.245,8.333333,3.063333,-0.453333,0.068986,0.0,11.689594,2.993416,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,-1
0.166667,-0.376667,0.078333,-21.516667,2.598333,-0.138333,0.20588,65.0,7.845049,0.033193,0.166667,0.666667,0.166667,0.166667,0.333333,0.666667,0.166667,0.166667,0.0,-1
